Nº,Unidade Inspecionada,Departamento,COORPIN,Data da Inspeção,Delegado Corregedor Responsável,Não Conformidade Identificada,Descrição da Não Conformidade Identificada,Providências Iniciais,Providências Intermediárias,Providências Conclusivas,Data Início Prazo Regularização,Dias Prazo,Data Fim para Regularização,Status Prazo para Regularização,Data Determinada para Nova Inspeção,Criticidade
011,11ª Delegacia Territorial - Serrinha,DENARC,COORPIN-11,2025-01-30,Alexandre Costa,Equipamentos sem manutenção preventiva,Impressoras sem manutenção,Manutenção solicitada,Aguardando execução,Pendente,2025-01-31,60,2025-04-01,Dentro do prazo,2025-07-30,Baixa
012,12ª Delegacia Territorial - Guanambi,DPMCV,COORPIN-12,2025-01-18,Juliana Santos,Ausência de Livro Obrigatório,Livro de plantão desatualizado,Aquisição de novo livro,Implementação,Em andamento,2025-01-19,30,2025-02-18,Próximo do vencimento,2025-08-18,Média
013,13ª Delegacia Territorial - Jequié,DHPP,COORPIN-13,2025-01-22,Roberto Oliveira,Não conformidade com Portaria 494/2023,Normas não implementadas,Curso de capacitação,Implementação iniciada,Em andamento,2025-01-23,45,2025-03-09,Dentro do prazo,2025-08-22,Alta
014,14ª Delegacia Territorial - Senhor do Bonfim,DRACO,COORPIN-14,2024-12-10,Ana Maria Silva,Equipamentos sem manutenção preventiva,Ar condicionado sem manutenção,Contrato assinado,Manutenção realizada,Concluído,2024-12-11,60,2025-02-09,Prazo expirado,2025-06-10,Baixa
015,15ª Delegacia Territorial - Alagoinhas,DEIC,COORPIN-15,2025-01-14,Carlos Roberto,Ausência de Livro Obrigatório,Livro de controle patrimonial ausente,Providências imediatas,Aquisição efetuada,Regularizado,2025-01-15,30,2025-02-14,Prazo expirado,2025-08-14,Média
016,16ª Delegacia Territorial - Cruz das Almas,GDG,COORPIN-16,2025-01-28,Sandra Oliveira,Não conformidade com Portaria 494/2023,Falta de documentação necessária,Documentação solicitada,Em análise,Pendente,2025-01-29,30,2025-02-28,Dentro do prazo,2025-08-28,Alta
017,17ª Delegacia Territorial - Itabuna,DEPIN,COORPIN-17,2025-01-16,Eduardo Silva,Equipamentos sem manutenção preventiva,Sistema de segurança necessita reparo,Manutenção contratada,Serviços iniciados,Em andamento,2025-01-17,45,2025-03-03,Dentro do prazo,2025-08-16,Baixa
018,18ª Delegacia Territorial - Camaçari,DEPOM,COORPIN-18,2025-01-21,Luciana Costa,Ausência de Livro Obrigatório,Livro de controle de viaturas não localizado,Aquisição providenciada,Implementação,Em andamento,2025-01-22,30,2025-02-21,Próximo do vencimento,2025-08-21,Média
019,19ª Delegacia Territorial - Brumado,DENARC,COORPIN-19,2025-01-11,Francisco Santos,Não conformidade com Portaria 494/2023,Procedimentos operacionais desatualizados,Revisão programada,Atualização em curso,Em andamento,2025-01-12,60,2025-03-13,Dentro do prazo,2025-08-11,Alta
020,20ª Delegacia Territorial - Candeias,DPMCV,COORPIN-20,2025-01-07,Beatriz Lima,Equipamentos sem manutenção preventiva,Equipamentos eletrônicos com defeito,Conserto autorizado,Aguardando peças,Pendente,2025-01-08,45,2025-02-22,Próximo do vencimento,2025-08-07,Baixa
